Facility ID,State,Hospital Type,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating
281302,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281303,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281304,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281305,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281306,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281307,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281308,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281309,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281310,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281311,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281312,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281313,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281314,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281315,NE,Critical Access Hospitals,Proprietary,Proprietary,,Not Available
281316,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281318,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281319,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281320,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281322,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281323,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281324,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281325,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281326,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281327,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281328,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281329,NE,Critical Access Hospitals,Voluntary non-profit - Church,Voluntary non-profit,Church,3
281330,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281331,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281332,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281333,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281334,NE,Critical Access Hospitals,Government - Local,Government , Local,5
281335,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281336,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281338,NE,Critical Access Hospitals,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
281339,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281340,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281341,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281342,NE,Critical Access Hospitals,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
281343,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281344,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281345,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281346,NE,Critical Access Hospitals,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
281347,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281348,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281349,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281350,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281351,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281352,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,4
281353,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281354,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281355,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281356,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281357,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281358,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281359,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281360,NE,Critical Access Hospitals,Government - Local,Government , Local,Not Available
281361,NE,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
281362,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
281363,NE,Critical Access Hospitals,Voluntary non-profit - Other,Voluntary non-profit,Other,3
281364,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,2
281365,NE,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
283300,NE,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
283301,NE,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
284003,NE,Psychiatric,Government - State,Government , State,Not Available
284009,NE,Psychiatric,Government - Local,Government , Local,Not Available
290001,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
290003,NV,Acute Care,Proprietary,Proprietary,,1
290005,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
290007,NV,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
290008,NV,Acute Care,Proprietary,Proprietary,,2
290009,NV,Acute Care,Proprietary,Proprietary,,4
290012,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
290019,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
29001F,NV,Acute Care,Department of Defense,Government ,Department of Defense,Not Available
290021,NV,Acute Care,Proprietary,Proprietary,,1
290022,NV,Acute Care,Proprietary,Proprietary,,3
29002F,NV,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,5
290032,NV,Acute Care,Proprietary,Proprietary,,3
290039,NV,Acute Care,Proprietary,Proprietary,,4
290041,NV,Acute Care,Proprietary,Proprietary,,1
290042,NV,Acute Care,Proprietary,Proprietary,,Not Available
290045,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
290046,NV,Acute Care,Proprietary,Proprietary,,2
290047,NV,Acute Care,Proprietary,Proprietary,,4
290049,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
29004F,NV,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,5
290053,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
290054,NV,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
290057,NV,Acute Care,Proprietary,Proprietary,,3
290058,NV,Acute Care,Proprietary,Proprietary,,Not Available
290061,NV,Acute Care,Proprietary,Proprietary,,Not Available
291300,NV,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
291301,NV,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
291302,NV,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
291303,NV,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
291304,NV,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
291306,NV,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,3
291307,NV,Critical Access Hospitals,Proprietary,Proprietary,,1
291308,NV,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,2
291309,NV,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
291311,NV,Critical Access Hospitals,Proprietary,Proprietary,,2
291312,NV,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
291313,NV,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,1
291314,NV,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
294000,NV,Psychiatric,Government - State,Government , State,Not Available
294002,NV,Psychiatric,Government - State,Government , State,Not Available
294010,NV,Psychiatric,Proprietary,Proprietary,,Not Available
294011,NV,Psychiatric,Proprietary,Proprietary,,Not Available
294012,NV,Psychiatric,Proprietary,Proprietary,,Not Available
294013,NV,Psychiatric,Proprietary,Proprietary,,Not Available
294014,NV,Psychiatric,Proprietary,Proprietary,,Not Available
294015,NV,Psychiatric,Proprietary,Proprietary,,Not Available
300001,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
300003,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
300005,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
300011,NH,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
300012,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
300014,NH,Acute Care,Proprietary,Proprietary,,3
300017,NH,Acute Care,Proprietary,Proprietary,,4
300018,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
300019,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
300020,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
300023,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
300029,NH,Acute Care,Proprietary,Proprietary,,4
300034,NH,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
301300,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
301301,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
301302,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
301303,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,3
301304,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,4
301305,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
301306,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
301307,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,3
301308,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,5
301309,NH,Critical Access Hospitals,Proprietary,Proprietary,,4
301310,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,4
301311,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,4
301312,NH,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,3
304000,NH,Psychiatric,Government - State,Government , State,Not Available
304001,NH,Psychiatric,Proprietary,Proprietary,,Not Available
310001,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
310002,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310003,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310005,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
310006,NJ,Acute Care,Proprietary,Proprietary,,3
310008,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310009,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310010,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
310011,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310012,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310014,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310015,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
310016,NJ,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,2
310017,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310019,NJ,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,1
31001F,NJ,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,2
310021,NJ,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
310022,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310024,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310025,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310027,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
310028,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310029,NJ,Acute Care,Government - State,Government , State,2
310031,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310032,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310034,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310038,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310039,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310040,NJ,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,1
310041,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310044,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310045,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310047,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310048,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310050,NJ,Acute Care,Proprietary,Proprietary,,4
310051,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310052,NJ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
310054,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310057,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310058,NJ,Acute Care,Government - Local,Government , Local,1
310060,NJ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,5
310061,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310064,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310069,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310070,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310073,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310074,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310075,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310076,NJ,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
310083,NJ,Acute Care,Proprietary,Proprietary,,1
310084,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310086,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310091,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310092,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310096,NJ,Acute Care,Proprietary,Proprietary,,4
310108,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310110,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310111,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310112,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
310113,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
310115,NJ,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
310118,NJ,Acute Care,Proprietary,Proprietary,,1
310119,NJ,Acute Care,Government - State,Government , State,1
310130,NJ,Acute Care,Proprietary,Proprietary,,2
313300,NJ,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
313302,NJ,Childrens,Proprietary,Proprietary,,Not Available
314001,NJ,Psychiatric,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
314005,NJ,Psychiatric,Government - State,Government , State,Not Available
314011,NJ,Psychiatric,Government - State,Government , State,Not Available
314012,NJ,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
314013,NJ,Psychiatric,Government - State,Government , State,Not Available
314016,NJ,Psychiatric,Government - State,Government , State,Not Available
314018,NJ,Psychiatric,Proprietary,Proprietary,,Not Available
314019,NJ,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
314020,NJ,Psychiatric,Government - Local,Government , Local,Not Available
314021,NJ,Psychiatric,Proprietary,Proprietary,,Not Available
314022,NJ,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
314023,NJ,Psychiatric,Proprietary,Proprietary,,Not Available
314024,NJ,Psychiatric,Government - Local,Government , Local,Not Available
314027,NJ,Psychiatric,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
320001,NM,Acute Care,Government - State,Government , State,2
320002,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
320003,NM,Acute Care,Proprietary,Proprietary,,3
320004,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
320005,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
320006,NM,Acute Care,Proprietary,Proprietary,,1
320009,NM,Acute Care,Proprietary,Proprietary,,3
320011,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
320017,NM,Acute Care,Proprietary,Proprietary,,2
320018,NM,Acute Care,Proprietary,Proprietary,,2
320021,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
320022,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
320030,NM,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
320033,NM,Acute Care,Proprietary,Proprietary,,Not Available
320038,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
320057,NM,Acute Care,Government - Federal,Government , Federal,Not Available
320059,NM,Acute Care,Government - Federal,Government , Federal,Not Available
32005F,NM,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,1
320060,NM,Acute Care,Government - Federal,Government , Federal,Not Available
320061,NM,Acute Care,Government - Federal,Government , Federal,Not Available
320062,NM,Acute Care,Government - Federal,Government , Federal,Not Available
320063,NM,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,1
320065,NM,Acute Care,Proprietary,Proprietary,,3
320067,NM,Acute Care,Government - Local,Government , Local,Not Available
320074,NM,Acute Care,Proprietary,Proprietary,,2
320084,NM,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
320085,NM,Acute Care,Proprietary,Proprietary,,1
320086,NM,Acute Care,Proprietary,Proprietary,,3
320089,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
320090,NM,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
320091,NM,Acute Care,Proprietary,Proprietary,,Not Available
321300,NM,Critical Access Hospitals,Government - Local,Government , Local,Not Available
321301,NM,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
321302,NM,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
321304,NM,Critical Access Hospitals,Government - Local,Government , Local,Not Available
321305,NM,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,3
321306,NM,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,4
321307,NM,Critical Access Hospitals,Government - State,Government , State,Not Available
321308,NM,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
321309,NM,Critical Access Hospitals,Proprietary,Proprietary,,Not Available
321310,NM,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,2
321311,NM,Critical Access Hospitals,Government - Local,Government , Local,Not Available
324010,NM,Psychiatric,Proprietary,Proprietary,,Not Available
324012,NM,Psychiatric,Proprietary,Proprietary,,Not Available
324013,NM,Psychiatric,Proprietary,Proprietary,,Not Available
324014,NM,Psychiatric,Proprietary,Proprietary,,Not Available
330005,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330006,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330008,NY,Acute Care,Government - Local,Government , Local,2
330009,NY,Acute Care,Proprietary,Proprietary,,2
330011,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330013,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330014,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330019,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330023,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330024,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
330027,NY,Acute Care,Government - Local,Government , Local,1
330028,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330030,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330033,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330043,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330044,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330045,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
330046,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330047,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330049,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
330055,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
330056,NY,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
330057,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
330058,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330059,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330065,NY,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,1
330073,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330074,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330078,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330079,NY,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
330080,NY,Acute Care,Government - Local,Government , Local,1
330084,NY,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
330085,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330086,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
330090,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330094,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330096,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
33009F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,4
330100,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
330101,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
330102,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
330103,NY,Acute Care,Proprietary,Proprietary,,1
330104,NY,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
330106,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
330107,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330111,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
330115,NY,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
330119,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
33011F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,Not Available
330125,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330126,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
330127,NY,Acute Care,Government - Local,Government , Local,2
330128,NY,Acute Care,Government - Local,Government , Local,1
33012F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,5
330135,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
330136,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330140,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330141,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330144,NY,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
33014F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,Not Available
330151,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
330153,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330157,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330158,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
33015F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,Not Available
330160,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
330162,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
330163,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330164,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330166,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
330169,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
33016F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,1
330175,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
33017F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,2
330180,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330181,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
330182,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,5
330184,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330185,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
330188,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
330191,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330193,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
330194,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330195,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
330196,NY,Acute Care,Government - Local,Government , Local,1
330197,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330198,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330199,NY,Acute Care,Government - Local,Government , Local,2
33019F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,2
330202,NY,Acute Care,Government - Local,Government , Local,2
330203,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
330204,NY,Acute Care,Government - Local,Government , Local,1
330205,NY,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,5
330208,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
33020F,NY,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,3
330211,NY,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
